miRNA	log2FoldChange	padj
dre-miR-146b	-2.591173897	0.008889133
dre-miR-222b	-1.291310463	0.008889133
dre-miR-375	-2.845704232	0.013871602
dre-miR-146a	-1.636889907	0.088904997
dre-miR-731	-1.378000784	0.092502217
dre-miR-223	-1.345611142	0.09876562
dre-miR-190a	1.630440051	0.177023741
dre-miR-499-5p	1.239203202	0.177023741
dre-miR-2185-5p	-2.336145022	0.266619934
dre-miR-429a	-1.622915149	0.312485721
dre-miR-155	-1.275515577	0.312485721
dre-miR-153a-3p	2.167669043	0.400149973
dre-miR-125c-3p	-1.499352735	0.443243001
dre-miR-153b-5p	2.285590723	0.443243001
dre-miR-200b-5p	-1.932758132	0.443243001
dre-miR-15c	-1.086978717	0.443243001
dre-miR-29b3-3p	0.765445606	0.443243001
dre-miR-21	-0.701460283	0.465869481
dre-miR-26b	0.537002732	0.465869481
dre-miR-30e-5p	0.880259839	0.465869481
dre-miR-107a-3p	-0.809010378	0.465869481
dre-miR-338	0.906733397	0.465869481
dre-miR-135a	1.20194639	0.465869481
dre-miR-124-3p	1.135185404	0.477576513
dre-miR-200b-3p	-1.168520791	0.477576513
dre-miR-200c-3p	-1.12247093	0.477576513
dre-miR-430b-3p	-1.856160027	0.484489118
dre-miR-101a	0.959214688	0.484489118
dre-miR-101b	1.734252191	0.484489118
dre-miR-125b-2-3p	-0.884568751	0.484489118
dre-miR-141-3p	-1.026391427	0.484489118
dre-miR-153b-3p	0.871950578	0.484489118
dre-miR-301b-3p	2.992500832	0.484489118
dre-miR-458-3p	0.705043306	0.484489118
dre-miR-338-3p	0.816405062	0.484489118
dre-miR-30c-3p	-1.128787625	0.507088473
dre-miR-29b	0.598911348	0.519008962
dre-miR-430a-3p	-1.784275316	0.524747772
dre-miR-430c-3p	-1.909335578	0.53446552
dre-miR-194b	-2.197139781	0.536981909
dre-miR-459-3p	-1.643496957	0.583227332
dre-miR-30c-5p	0.682897815	0.602770707
dre-miR-200a-5p	-1.427642026	0.602770707
dre-miR-429b	-1.327659941	0.611705396
dre-miR-1306	-1.637658219	0.611705396
dre-miR-126a-5p	0.546515958	0.614726011
dre-miR-196b	-0.666232298	0.614726011
dre-miR-204-2-3p	-2.186404371	0.614726011
dre-miR-1388-5p	-0.839440186	0.614726011
dre-miR-126b-5p	0.546515958	0.614726011
dre-miR-205-5p	1.026546874	0.632637267
dre-miR-19b-5p	1.553935775	0.632637267
dre-miR-153c-3p	1.164465197	0.632637267
dre-miR-2187-5p	1.062593685	0.632637267
dre-miR-196a-5p	-0.800570563	0.695008322
