miRNA	log2FoldChange	padj
dre-miR-10a-5p	1.805698621	0.001106258
dre-miR-10b-5p	1.137180747	0.001565389
dre-miR-10b-3p	1.713231204	0.005647219
dre-miR-34a	0.497887911	0.383929532
dre-miR-181b-5p	-0.072250283	0.922396994
dre-miR-182-5p	-0.76932582	0.526898612
dre-miR-183-5p	-0.575250679	0.581502074
dre-miR-192	0.676595779	0.49229806
dre-miR-196a-5p	2.349251031	0.000451764
dre-miR-199-5p	0.0422051	0.898354425
dre-miR-199-3p	0.09239277	0.821302265
dre-miR-199-3-3p	-0.122372108	0.737517732
dre-miR-203a-3p	-0.722704264	0.20115753
dre-miR-204-5p	-0.483999273	0.370892119
dre-miR-205-5p	1.660456698	0.134130173
dre-miR-210-5p	0.277589334	0.085106745
dre-miR-210-3p	0.329461458	0.495399346
dre-miR-181a-5p	0.783436726	0.370892119
dre-miR-181a-3p	-1.250171533	0.063090094
dre-miR-214	1.041255399	0.088964563
dre-miR-216a	-0.487304779	0.710872788
dre-miR-217	0.663723111	0.601432624
dre-miR-221-5p	-0.101703803	0.857778471
dre-miR-221-3p	0.050308727	0.917743029
dre-miR-222a-5p	-0.224517108	0.449225243
dre-miR-222a-3p	-0.276347753	0.737517732
dre-miR-223	0.11939058	0.81224737
dre-miR-430a-3p	1.212651212	0.045627287
dre-miR-430b-3p	0.969526483	0.098143619
dre-miR-430c-3p	0.909529878	0.062193207
dre-miR-429a	0.636341085	0.032538468
dre-miR-451	-0.539233649	0.27688986
dre-let-7a	0.251109778	0.313267213
dre-let-7b	1.114075735	0.026651409
dre-let-7c-5p	0.502078574	0.143827241
dre-let-7c-3p	0.215605915	0.681837983
dre-let-7d-5p	0.427211013	0.263637804
dre-let-7d-3p	0.215605915	0.681837983
dre-let-7e	-0.218869641	0.533920866
dre-let-7f	0.576587919	0.063116695
dre-let-7g	-0.517977746	0.047704133
dre-let-7h	0.10159076	0.776185848
dre-let-7i	0.838325785	0.022477701
dre-miR-1	0.297301659	0.417317953
dre-miR-10c-5p	0.664729768	0.071997794
dre-miR-10d-5p	0.961157631	0.157210379
dre-miR-15a-5p	-0.184564015	0.464930815
dre-miR-15b-5p	-0.375531839	0.157210379
dre-miR-16a	0.180461106	0.536115202
dre-miR-16b	0.495543661	0.166730622
dre-miR-16c-5p	0.119195615	0.741662406
dre-miR-16c-3p	0.643612698	0.084053175
dre-miR-17a-5p	-0.539656405	0.237231046
dre-miR-17a-2-3p	0.733859657	0.399479695
dre-miR-20b-5p	0.186275464	0.737517732
dre-miR-20b-3p	-0.328360198	0.489095881
dre-miR-18a	-1.167832038	0.083186601
dre-miR-18b-5p	-1.159300092	0.060836767
dre-miR-18c	-0.277499761	0.536115202
dre-miR-19a-3p	-1.735500312	0.000410955
dre-miR-19b-5p	-0.395920842	0.623541032
dre-miR-19b-3p	-1.583412067	0.006204924
dre-miR-19c-3p	-1.550416629	0.014175966
dre-miR-19d-3p	-1.033665215	0.19014486
dre-miR-20a-5p	-0.583650658	0.102834862
dre-miR-20a-3p	-0.169020521	0.807706705
dre-miR-21	0.761409515	0.042597457
dre-miR-22a-5p	0.120228849	0.81224737
dre-miR-22a-3p	0.405962809	0.259347593
dre-miR-22b-5p	0.570928689	0.263637804
dre-miR-22b-3p	0.265335614	0.557044286
dre-miR-23a-3p	0.039550979	0.889890819
