piRNA,log2FoldChange,padj
piR-dre-67849,23.08297726,1.51E-10
piR-dre-53095,-7.735149931,8.33E-08
piR-dre-16228,-5.285608969,0.001868596
piR-dre-13644,-8.132311133,0.001868596
piR-dre-45849,-4.491865554,0.001868596
piR-dre-86156,-8.059350149,0.002447447
piR-dre-56742,-6.988609853,0.006739986
piR-dre-66200,-7.076457339,0.006739986
piR-dre-53387,-6.480602226,0.006739986
piR-dre-44071,-7.058103162,0.00695737
piR-dre-67577,-6.822634366,0.007894793
piR-dre-999019,-4.90137613,0.00972597
piR-dre-29896,-6.22020974,0.010025873
piR-dre-40998,-4.636185363,0.013738265
piR-dre-56443,-5.270270638,0.015279525
piR-dre-8095,-5.294753645,0.015279525
piR-dre-41775,-5.881490318,0.019339097
piR-dre-17861,-6.679858166,0.019674986
piR-dre-11151,-6.524103188,0.019674986
piR-dre-1520,-4.785779025,0.021339125
piR-dre-38376,-3.076285197,0.023145058
piR-dre-50014,-2.421377323,0.023472194
piR-dre-80927,-5.935231656,0.023472194
piR-dre-56406,-2.398771572,0.023725131
piR-dre-65121,-5.764140925,0.027029125
piR-dre-52366,-5.811099136,0.027029125
piR-dre-84569,-5.910507805,0.027029125
piR-dre-24259,-5.743185237,0.027029125
piR-dre-61937,-4.799715126,0.029408487
piR-dre-51920,-1.630222551,0.029861349
piR-dre-48632,-1.699121001,0.029861349
piR-dre-54013,-5.475004476,0.029861349
piR-dre-42473,-5.499569995,0.029861349
piR-dre-28553,5.513159343,0.029861349
piR-dre-56040,-3.099987233,0.031757356
piR-dre-76446,-5.653712088,0.031757356
piR-dre-13392,-1.249587843,0.031757356
piR-dre-40291,-5.121741603,0.032835403
piR-dre-47417,-3.502374586,0.032835403
piR-dre-39395,-5.201796081,0.032835403
piR-dre-13009,-5.488577268,0.03783799
piR-dre-38625,-3.983554265,0.03783799
piR-dre-25346,-6.582310742,0.039927228
piR-dre-10329,-5.741583101,0.039927228
piR-dre-4733,-5.044588138,0.039927228
piR-dre-40007,-5.62882489,0.039927228
piR-dre-15750,2.217000806,0.043884308
piR-dre-31249,-5.579051586,0.046950306
piR-dre-73985,-5.558760232,0.052097525
piR-dre-8805,-5.126879354,0.055070697
piR-dre-564425,-5.341988156,0.056874738
piR-dre-7667,-5.452241172,0.056874738
piR-dre-18837,-4.820785088,0.056874738
piR-dre-13538,-5.174724304,0.056874738
piR-dre-206260,2.57672017,0.057146384
piR-dre-61974,-5.305439637,0.058056757
piR-dre-5057,-5.356917263,0.058056757
piR-dre-53233,5.888762848,0.058056757
piR-dre-24068,-4.96702052,0.059749513
piR-dre-203267,-5.246364564,0.059749513
piR-dre-24551,-4.039680091,0.06357675
piR-dre-64348,-5.309780624,0.064302079
piR-dre-86639,-2.726740382,0.064302079
piR-dre-10749,-6.09150025,0.064302079
piR-dre-41578,-5.438657786,0.064302079
piR-dre-61511,-2.784648763,0.067048151
piR-dre-79133,3.287479853,0.072145027
piR-dre-10817,-3.448638998,0.072145027
piR-dre-189505,-5.084234636,0.072868506
piR-dre-24824,-4.137150562,0.072868506
piR-dre-50312,3.777002218,0.077478467
piR-dre-42752,-5.041443582,0.077478467
piR-dre-50457,-2.689635727,0.077480666
piR-dre-82992,4.798673958,0.077480666
piR-dre-709532,-3.979352065,0.077480666
piR-dre-75119,-5.046935306,0.077480666
piR-dre-11052,-5.167271792,0.077480666
piR-dre-32252,-4.709882177,0.077480666
piR-dre-335403,4.728872151,0.077480666
piR-dre-80443,5.175890898,0.078708823
piR-dre-22885,-2.636165858,0.081801098
piR-dre-11485,-4.01254156,0.081801098
piR-dre-7036,-5.219612826,0.083556165
piR-dre-35600,-2.645540981,0.088701464
piR-dre-9850,-4.786596492,0.088749843
piR-dre-57660,4.16247508,0.088749843
piR-dre-8467,4.77696226,0.090947133
piR-dre-45685,-1.549232402,0.090947133
piR-dre-76484,-4.798323889,0.09251249
piR-dre-48302,-2.595227457,0.09251249
piR-dre-62474,4.877732285,0.09251249
piR-dre-54548,-1.853711977,0.098860254
piR-dre-11829,-5.629218454,0.100795178
piR-dre-43120,-5.21257673,0.100795178
piR-dre-17137,-3.402067221,0.104505106
piR-dre-51160,-4.851760606,0.106638701
piR-dre-8875,-4.738092258,0.106638701
piR-dre-604780,-3.624853063,0.10834658
piR-dre-67198,-5.289741824,0.10834658
piR-dre-44413,-3.545587755,0.10834658
piR-dre-39852,-2.321583615,0.10834658
piR-dre-705310,4.727726887,0.10834658
piR-dre-3371,-4.698958751,0.108434098
piR-dre-20286,-3.04130889,0.108742642
piR-dre-58910,-4.624477505,0.115561695
piR-dre-49716,-1.326273621,0.115561695
piR-dre-39456,-4.767878246,0.115561695
piR-dre-1517,-3.993788343,0.116903018
piR-dre-26919,-4.584974251,0.116903018
piR-dre-60409,4.004541219,0.116903018
piR-dre-8031,-3.254355158,0.120818443
piR-dre-8921,-3.254355158,0.120818443
piR-dre-115002,3.860624505,0.120818443
piR-dre-83000,-3.244806844,0.121165161
piR-dre-1180257,4.028772429,0.121165161
piR-dre-639882,4.028772429,0.121165161
piR-dre-423962,4.592310518,0.121165161
piR-dre-57493,2.377299603,0.122056462
piR-dre-54776,-3.548204562,0.122056462
piR-dre-558218,-4.251058751,0.122056462
piR-dre-1529,1.411116118,0.122056462
piR-dre-1518,-3.953943889,0.122056462
piR-dre-37188,-1.320337607,0.122056462
piR-dre-3919,-5.249903862,0.131411507
piR-dre-39543,-3.302154204,0.13437085
piR-dre-36457,-4.700496161,0.13437085
piR-dre-43732,4.319791331,0.13697366
piR-dre-35601,-2.314937535,0.137428735
piR-dre-46841,-3.86337822,0.137966098
piR-dre-28616,-5.279204993,0.139176443
piR-dre-82053,-4.698462183,0.144349978
piR-dre-1519,-3.891986896,0.147066381
piR-dre-77478,-3.962915379,0.150800627
piR-dre-18594,-3.897371343,0.150800627
piR-dre-38517,-3.949884573,0.150800627
piR-dre-17820,-4.414608114,0.151872354
piR-dre-53043,1.350116835,0.154553418
piR-dre-85037,-4.096305063,0.154553418
piR-dre-61300,-4.638642379,0.156949289
piR-dre-113251,-3.078202333,0.156949289
piR-dre-46255,-4.426469356,0.16122658
piR-dre-81010,-1.714270393,0.161806664
piR-dre-39341,-4.569669201,0.162907372
piR-dre-63994,-4.409195297,0.163152765
piR-dre-64699,-2.049832881,0.170601574
piR-dre-49856,-3.868402794,0.175065913
piR-dre-14224,-4.512500185,0.1903234
piR-dre-46867,-1.741853467,0.1903234
piR-dre-79001,-1.882993881,0.193085604
piR-dre-20793,2.469950264,0.193085604
piR-dre-34639,-4.41794232,0.193085604
piR-dre-34640,-4.41794232,0.193085604
piR-dre-34811,1.358355747,0.193085604
piR-dre-39107,-7.881353992,0.193085604
piR-dre-43641,-4.500661696,0.195488871
piR-dre-11966,-3.911265041,0.203264388
piR-dre-40204,-3.114811622,0.203264388
piR-dre-34642,-4.365792127,0.208345321
piR-dre-9687,1.23575622,0.209389994
piR-dre-56042,-0.994716982,0.209474557
piR-dre-1330122,1.37464817,0.209540045
piR-dre-1309409,-3.179433322,0.212141413
piR-dre-71468,-4.420587119,0.2159273
piR-dre-1275899,-2.548166994,0.234905355
piR-dre-77579,-2.60826053,0.235676326
piR-dre-38351,-4.477960071,0.235676326
piR-dre-870171,-4.395545344,0.239673212
piR-dre-45204,2.063555299,0.241310335
piR-dre-28447,2.544267678,0.243361566
piR-dre-133193,-1.691928804,0.243655971
piR-dre-35840,-1.598067583,0.245024078
piR-dre-498264,-1.802097653,0.247233102
piR-dre-56136,-3.967730315,0.248491844
piR-dre-449631,3.398808636,0.248491844
piR-dre-71306,-2.683773165,0.257014256
piR-dre-65275,-3.567576562,0.25739634
piR-dre-78268,-3.020630427,0.258279187
piR-dre-133110,2.944647162,0.25941347
piR-dre-3527,2.326596461,0.25941347
piR-dre-8665,2.694766199,0.272839749
piR-dre-14097,-1.139366358,0.272839749
piR-dre-24063,-4.226193278,0.272839749
piR-dre-44764,-1.70097044,0.274958897
piR-dre-55464,5.23379646,0.274958897
piR-dre-76444,-3.415609457,0.276446806
piR-dre-47154,-1.515970178,0.280597349
piR-dre-53157,1.76570947,0.287640087
piR-dre-65901,-3.255041318,0.288137089
piR-dre-4893,-5.151425128,0.288137089
piR-dre-1002171,4.029061691,0.288137089
piR-dre-6678,2.40556966,0.289909268
piR-dre-24413,-4.116220479,0.289909268
piR-dre-20576,1.826200287,0.289909268
piR-dre-19608,-4.116220479,0.289909268
piR-dre-48105,-2.369556659,0.289909268
piR-dre-44566,2.493480271,0.289909268
piR-dre-47947,4.550591657,0.289909268
piR-dre-39202,-1.773067488,0.305213574
piR-dre-36728,3.48378556,0.308535593
piR-dre-65187,3.124312174,0.309711031
piR-dre-15511,-1.51663842,0.312012714
piR-dre-41459,-2.3365598,0.312012714
piR-dre-43741,-5.04297029,0.314886495
piR-dre-11506,3.136856428,0.314886495
piR-dre-59189,3.247277728,0.315250531
piR-dre-43685,-4.681835528,0.315250531
piR-dre-15935,2.69050998,0.319571664
piR-dre-51382,-5.001870768,0.323125573
piR-dre-69998,-5.131919202,0.323125573
piR-dre-40587,2.572289306,0.323125573
piR-dre-4645,-2.780246522,0.323125573
piR-dre-47099,2.268792437,0.326268717
piR-dre-59473,-2.276413131,0.327085858
piR-dre-807899,-3.434852693,0.327085858
piR-dre-85343,-3.873799499,0.331899242
piR-dre-80734,1.725854181,0.333333774
piR-dre-41882,-1.742329015,0.333571979
piR-dre-65553,-3.363829082,0.336021636
piR-dre-75130,4.997479043,0.336021636
piR-dre-76695,-1.480755837,0.345510066
piR-dre-1377,1.210315149,0.345510066
piR-dre-35602,-2.697230019,0.345510066
piR-dre-10708,-2.346270635,0.356833981
piR-dre-35164,-2.340422552,0.356833981
piR-dre-35165,-2.340422552,0.356833981
piR-dre-491400,-4.005653909,0.356833981
piR-dre-677877,-4.005653909,0.356833981
piR-dre-37823,1.919851779,0.364222185
piR-dre-57089,1.864485795,0.364242453
piR-dre-28202,-2.607838949,0.364242453
piR-dre-29657,-1.867540319,0.364242453
piR-dre-38942,-3.83198558,0.364242453
piR-dre-68704,2.174659614,0.365589947
piR-dre-82683,-1.75813348,0.38033419
piR-dre-12765,-3.068596757,0.384365668
piR-dre-79961,1.840079269,0.389855994
piR-dre-85266,-2.486799234,0.389855994
piR-dre-25804,-1.189393835,0.389931573
piR-dre-65078,-2.589383889,0.3913342
piR-dre-49176,-4.278034347,0.3913342
piR-dre-77139,-2.245266499,0.39653828
piR-dre-62473,-1.860017683,0.39667122
piR-dre-69946,-2.977556748,0.39667122
piR-dre-552763,3.909070793,0.39667122
piR-dre-49131,-1.550509891,0.400151179
piR-dre-26301,-0.902474995,0.402331497
piR-dre-1374,0.802266267,0.406300857
piR-dre-47411,-2.541327166,0.414287724
piR-dre-75958,4.51607588,0.417396051
piR-dre-51578,1.871056589,0.41751858
piR-dre-23508,-4.542474977,0.41751858
piR-dre-32923,-3.68727011,0.418752308
piR-dre-52268,-1.738543748,0.418994964
piR-dre-18974,-4.191203149,0.418994964
piR-dre-2984,-1.610472812,0.418994964
piR-dre-62664,-1.213362916,0.420204753
piR-dre-31534,1.552283076,0.420204753
piR-dre-26707,-1.125389544,0.422014504
piR-dre-63575,3.649685274,0.423999082
piR-dre-669105,1.674527381,0.426531966
piR-dre-22975,-2.369747167,0.427581399
piR-dre-48501,-4.663121247,0.427581399
piR-dre-27806,1.958390859,0.429738968
piR-dre-17546,-1.458186624,0.430531237
piR-dre-12445,2.516069882,0.430531237
piR-dre-48094,2.609844843,0.437774795
piR-dre-60105,-1.610055615,0.438692747
piR-dre-60244,-1.860306761,0.439456917
piR-dre-47313,3.335621847,0.439456917
piR-dre-133151,-1.651040918,0.441103048
piR-dre-55457,-1.381852083,0.441961329
piR-dre-4309,1.86134733,0.441961565
piR-dre-64691,-4.599245076,0.442742044
piR-dre-13916,-1.744583415,0.444246658
piR-dre-55668,-1.218187167,0.44613966
piR-dre-67935,4.571225037,0.452527997
piR-dre-34493,1.304429003,0.454049641
piR-dre-41938,2.382543679,0.46575683
piR-dre-1199901,2.150130166,0.46575683
piR-dre-61715,4.431498404,0.46575683
