piRNA	log2FoldChange	padj
piR-dre-35440	1.868688745	0.005576147
piR-dre-43357	-2.181381638	0.005576147
piR-dre-10247	3.009676923	0.005576147
piR-dre-19094	-2.111245694	0.005576147
piR-dre-2441	1.863473041	0.005576147
piR-dre-5848	3.491405818	0.006850669
piR-dre-35848	-2.442915933	0.011958865
piR-dre-25094	-3.171283148	0.013195495
piR-dre-15727	2.279444484	0.014404125
piR-dre-35441	1.73415873	0.02094751
piR-dre-42667	-2.218471234	0.023059554
piR-dre-57020	2.464855309	0.026370843
piR-dre-27928	2.287810468	0.028898576
piR-dre-7760	-1.629052381	0.028898576
piR-dre-13310	-3.039901637	0.028898576
piR-dre-24037	2.34523479	0.032715606
piR-dre-71201	5.319576757	0.032715606
piR-dre-72927	-1.669684447	0.032715606
piR-dre-14989	-2.442579101	0.032833502
piR-dre-19951	2.469290879	0.036490462
piR-dre-51545	3.886600774	0.036654587
piR-dre-270	-1.680630575	0.044397827
piR-dre-1029262	4.622096848	0.044397827
piR-dre-133197	-2.740332777	0.044397827
piR-dre-80231	2.93530641	0.044397827
piR-dre-21062	-2.310968788	0.044397827
piR-dre-809338	-2.756745586	0.044397827
piR-dre-555119	-3.93768845	0.044397827
piR-dre-48972	-1.750989964	0.044846016
piR-dre-34460	4.784828605	0.045260357
piR-dre-34810	-1.613153054	0.045260357
piR-dre-34812	-1.535945469	0.045260357
piR-dre-271	-1.64104635	0.045260357
piR-dre-18117	4.061515761	0.045260357
piR-dre-5516	4.796276386	0.045260357
piR-dre-83372	-2.533873895	0.045260357
piR-dre-35849	-2.573627471	0.045839752
piR-dre-18163	-1.711458258	0.045839752
piR-dre-946	4.740505606	0.045839752
piR-dre-133212	-3.71813793	0.045839752
piR-dre-31928	-3.916098015	0.045839752
piR-dre-69525	2.167176685	0.047222994
piR-dre-53526	1.569896677	0.047455814
piR-dre-426176	2.770959885	0.047851863
piR-dre-492597	-3.056747389	0.047851863
piR-dre-17612	-1.903081512	0.048263483
piR-dre-34461	4.915022987	0.04877372
piR-dre-947	4.915022987	0.04877372
piR-dre-35850	-2.513152597	0.049745525
piR-dre-15865	2.683628946	0.057074478
piR-dre-69790	2.714159622	0.057074478
piR-dre-34136	-2.303288521	0.057074478
piR-dre-15928	1.690021809	0.057118357
piR-dre-64596	-1.704830242	0.057118357
piR-dre-27674	2.749120029	0.058386842
piR-dre-12068	2.846250803	0.058386842
piR-dre-88160	-4.14591731	0.058386842
piR-dre-460308	-1.842804541	0.059659938
piR-dre-1306735	4.101389468	0.059659938
piR-dre-1198840	-1.847889733	0.059659938
piR-dre-671391	-3.623145884	0.059659938
piR-dre-10849	-2.094438528	0.060720437
piR-dre-15282	-3.181797952	0.060720437
piR-dre-66389	-4.862710486	0.060720437
piR-dre-26430	3.079059894	0.063288731
piR-dre-82488	-1.845202251	0.063288731
piR-dre-44280	-1.868143259	0.066880409
piR-dre-23893	1.750003074	0.066880409
piR-dre-49643	1.528195156	0.073458889
piR-dre-8509	2.876680506	0.077937466
piR-dre-19202	2.295210553	0.078672105
