ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000000001,56.80932938,0.295205589,0.350059898,0.84330022,0.39906056,0.80398122
ENSDARG00000000002,28.57056521,-0.528395581,0.658750829,-0.802117519,0.422484982,0.817634483
ENSDARG00000000018,345.15307,0.092624617,0.226831515,0.40834104,0.683023313,0.929044331
ENSDARG00000000019,724.8295382,-0.014549835,0.175106686,-0.083091258,0.933778977,0.986703205
ENSDARG00000000068,92.35036614,-1.532727272,0.464460776,-3.300014452,0.000966798,0.053342465
ENSDARG00000000069,147.7903679,-0.348574716,0.277405827,-1.256551532,0.208916075,0.644769551
ENSDARG00000000086,1056.282604,0.198429197,0.216280813,0.917460936,0.358901154,0.774958866
ENSDARG00000000103,1474.473295,0.22442284,0.138495444,1.620434824,0.105138904,0.497147281
ENSDARG00000000142,78.45778864,0.02125524,0.3403487,0.062451362,0.950203394,0.990246967
ENSDARG00000000151,43.69541853,0.052660741,0.373523829,0.140983618,0.887882884,0.978891503
ENSDARG00000000161,120.338461,0.01817875,0.374259896,0.04857253,0.961259962,0.992263453
ENSDARG00000000175,19.341041,-1.246967553,0.900252147,-1.38513144,0.16601228,0.59503055
ENSDARG00000000183,243.5330695,0.021073404,0.220509613,0.095566825,0.923864615,0.985862036
ENSDARG00000000189,113.7644433,-0.382505861,0.328555819,-1.16420358,0.24434152,0.681800068
ENSDARG00000000212,19.45717373,-1.731312997,0.930631317,-1.860363998,NA,NA
ENSDARG00000000229,265.6073104,0.585284612,0.219521447,2.6661842,0.007671765,0.158569736
ENSDARG00000000241,200.110106,-1.153926016,0.390041004,-2.958473605,0.003091667,0.09783132
ENSDARG00000000324,103.0182269,0.313807528,0.273172479,1.148752354,0.250658111,0.686252899
ENSDARG00000000349,307.2641209,0.158268936,0.279890597,0.565467143,0.571756067,0.883996934
ENSDARG00000000369,5.529915341,-0.299270677,1.38965342,-0.215356342,0.829489505,NA
ENSDARG00000000370,200.0849773,-0.205389101,0.276656697,-0.742396998,0.457846838,0.833565063
ENSDARG00000000380,72.75715888,0.489368344,0.289899848,1.688060022,0.091399708,0.470427017
ENSDARG00000000394,715.5831083,0.17435271,0.187885443,0.92797349,0.353421321,0.771018893
ENSDARG00000000423,31.85871955,-0.786193892,0.365758038,-2.14949177,0.031595438,0.305865691
ENSDARG00000000442,265.9829422,-0.101263728,0.190658489,-0.531126249,0.595331295,0.89479849
ENSDARG00000000460,4.561781385,0.378123664,1.515007095,0.249585408,0.802907984,NA
ENSDARG00000000472,13.31102545,0.299030248,0.576978756,0.518269078,0.604270545,NA
ENSDARG00000000476,147.2433171,0.228398055,0.19928167,1.146106687,0.251751011,0.687417482
