miRNA	log2FoldChange	padj
dre-mir-7b	0.001782056	0.996852597
dre-mir-7a-1	0.027976663	0.970828979
dre-mir-7a-2	0.038577225	0.961288226
dre-mir-10b-1	-0.112602374	0.961288226
dre-mir-34a	-0.478398719	0.95521109
dre-mir-181b-1	-0.106209568	0.961288226
dre-mir-181b-2	-0.095482268	0.961288226
dre-mir-187	0.310671498	0.95521109
dre-mir-196a-1	-0.925818236	0.561708724
dre-mir-199-1	0.164279635	0.961288226
dre-mir-199-2	0.156150617	0.961288226
dre-mir-199-3	-0.363696148	0.95521109
dre-mir-204-1	-0.402924175	0.95521109
dre-mir-205	0.99176834	0.679162805
dre-mir-181a-1	-0.525503768	0.561708724
dre-mir-214	-0.372823759	0.95521109
dre-mir-221	-1.148314696	0.053337295
dre-mir-222a	-0.428703444	0.561708724
dre-mir-223	-1.290672759	0.053337295
dre-mir-430b-1	-0.351080136	0.961288226
dre-let-7a-1	0.068672769	0.961288226
dre-let-7a-2	0.065051786	0.961288226
dre-let-7a-3	0.036475961	0.961288226
dre-let-7a-4	0.064964185	0.961288226
dre-let-7a-5	0.035698929	0.961288226
dre-let-7a-6	0.034842643	0.961288226
dre-let-7b	-0.1705586	0.961288226
dre-let-7c-1	-0.101697085	0.961288226
dre-let-7c-2	-0.092413744	0.961288226
dre-let-7d-1	0.088584478	0.961288226
dre-let-7d-2	0.112697697	0.961288226
dre-let-7e	-0.160851662	0.961288226
dre-let-7f	0.058193378	0.961288226
dre-let-7g-1	-0.135875565	0.961288226
dre-let-7g-2	-0.057109769	0.961288226
dre-let-7h	0.05934228	0.961288226
dre-let-7i	-0.030872107	0.961288226
dre-mir-9-1	0.613253273	0.561708724
dre-mir-9-2	0.652665589	0.561708724
dre-mir-9-3	0.601865369	0.561708724
dre-mir-9-5	0.753155343	0.424738567
dre-mir-9-6	0.627674278	0.561708724
dre-mir-10b-2	-0.127913451	0.961288226
dre-mir-10c	-0.135808916	0.961288226
dre-mir-16b	0.360971745	0.33218133
