miRNA	log2FoldChange	padj
dre-mir-7b	-0.108362778	0.830363897
dre-mir-7a-1	-0.875141314	0.09610074
dre-mir-7a-2	-0.847949747	0.109872264
dre-mir-10a	1.728417485	0.062970988
dre-mir-10b-1	1.534443527	0.000796157
dre-mir-34a	0.89285084	0.080444264
dre-mir-181b-1	0.408774847	0.641406278
dre-mir-181b-2	0.404065211	0.641406278
dre-mir-182	0.946636853	0.361067162
dre-mir-183	-0.47981862	0.859342503
dre-mir-192	1.778677347	0.06320011
dre-mir-196a-1	2.602785412	7.87E-06
dre-mir-199-1	0.15883381	0.759507231
dre-mir-199-2	0.153703897	0.770343285
dre-mir-199-3	-0.138851648	0.80292877
dre-mir-203a	0.186346404	0.859342503
dre-mir-204-1	0.33339672	0.650450823
dre-mir-205	1.465764516	0.184576282
dre-mir-210	0.284115543	0.584108458
dre-mir-181a-1	0.876064921	0.246666973
dre-mir-214	0.710940284	0.246666973
dre-mir-216a	-1.446602973	0.246666973
dre-mir-217	0.164307664	0.891862263
dre-mir-221	0.380876932	0.510785932
dre-mir-222a	0.592142349	0.336434552
dre-mir-223	0.514301091	0.248048928
dre-mir-430a-1	0.316564824	0.584108458
dre-mir-430b-1	-0.712632594	0.094558762
dre-mir-430c-1	-0.887652488	0.044624792
dre-mir-429a	1.219680045	0.044624792
dre-mir-451	-0.730877536	0.242848569
dre-let-7a-1	0.550812593	0.094456797
dre-let-7a-2	0.548074901	0.094558762
dre-let-7a-3	0.500454002	0.098947638
dre-let-7a-4	0.549781952	0.094558762
dre-let-7a-5	0.509504176	0.094558762
dre-let-7a-6	0.522116764	0.094558762
dre-let-7b	1.281439397	0.011154532
dre-let-7c-1	0.711966208	0.068995178
dre-let-7c-2	0.700570776	0.077592832
dre-let-7d-1	0.689316335	0.077592832
dre-let-7d-2	0.695586529	0.080444264
dre-let-7e	0.135608311	0.80292877
dre-let-7f	0.561673793	0.094558762
dre-let-7g-1	0.269824767	0.56358312
dre-let-7g-2	0.244183033	0.579360767
dre-let-7h	0.455209673	0.242848569
dre-let-7i	0.684314521	0.068143819
